Cage,Time,Isopod,Temperature,X,Y,Z,Location,Behavior,X,Y,Z,Location,Behavior,X,Y,Z,Location,Behavior,Notes
17,07:00,Y,W,13,22,4,GR,S,12,31,8,M,S,2,25,10,G,S,
17,08:00,Y,W,7,30,0,M,S,14,29,2,W,S,2,25,10,G,S,
17,09:00,Y,W,4,31,8,M,S,2,31,2,M,W,2,27,11,G,S,
17,10:00,Y,W,2,21,9,G,F,2,31,2,M,S,3,28,11,M,S,
17,11:00,Y,W,6,13,4,GR,F,3,31,0,M,S,1,31,10,M,S,
17,12:00,Y,W,4,31,10,M,S,13,31,2,M,W,3,31,7,M,S,
17,01:00,Y,W,3,31,8,M,S,3,31,11,M,S,6,10,0,M,S,
17,02:00,Y,W,2,31,8,M,S,3,31,,,,,,,,,
17,03:00,Y,W,0,30,8,M,S,15,31,,,,,,,,,
17,04:00,Y,W,,,,,,,,,,,,,,,,
17,05:00,Y,W,,,,,,,,,,,,,,,,
17,06:00,Y,W,,,,,,,,,,,,,,,,
17,07:00,Y,W,,,,,,,,,,,,,,,,
19,07:00,Y,C,,,,,,,,,,,,,,,,
19,08:00,Y,C,13,27,8,gr,s,13,24,8,gr,s,10.5,9.5,3,gr,s,
19,09:00,Y,C,13.5,30,6,gr,s,15.5,31,9,s,s,10,25,0,m,s,
19,10:00,Y,C,14,31,6,m,s,15.5,31,9,m,s,15.5,31,10,m,s,
19,11:00,Y,C,14,31,6,m,w,15.5,31,7,m,s,15.5,31,10,m,s,
19,12:00,Y,C,16,28,8.5,m,s,15.5,31,7,m,s,15.5,31,10,m,s,
19,01:00,Y,C,15.5,31,9,m,s,15.5,31.5,9,m,s,15.5,28,9,m,s,
19,02:00,Y,C,15.5,31,9,m,s,15.5,31.5,9,m,s,14,29,6,gr,f,
19,03:00,Y,C,15,30,6.5,m,w,15,30,7.5,m,w,14,30.5,10,m,s,
19,04:00,Y,C,15.5,30,5,m,s,15.5,30,6,m,s,14,30.5,10,m,s,
19,05:00,Y,C,15.5,30,5,m,s,15.5,30,6,m,s,14,30.5,10,m,s,
19,06:00,Y,C,15.5,30,8,m,s,15.5,30,6,m,s,14,30.5,10,m,s,
19,07:00,Y,C,13.5,30,9.5,m,s,15.5,31,9,s,s,0,29,7,m,s,
20,07:00,N,C,,,,,,,,,,,,,,,,
20,08:00,N,C,6.5,29,6,clip,s,3,18,7,gr,s,0,24,5,gr,s,
20,09:00,N,C,6.5,29,6,clip,s,3,18,7,gr,s,4,31,5,gr,s,
20,10:00,N,C,12.5,31,3,m,s,13.5,31,2,w,s,7,30,9.5,m,s,
20,11:00,N,C,13.5,30,9,m,s,13.5,31,9,m,w,5.5,31,6,m,w,
20,12:00,N,C,7 5,30,6,clip,s,13.5,31,9,m,s,5.5,31,6,m,s,
20,01:00,N,C,13.5,31,9,m,s,7,29,6.5,clip,s,7,28,6,hobo,s,
20,02:00,N,C,5,31,6,m,s,13,35,9.5,w,s,5,26,7,gr,s,
20,03:00,N,C,2,30,10,m,s,11.5,28,10,m,s,11.5,30,10,m,s,
20,04:00,N,C,10,30,9.5,m,s,4,24,6,gr,f,2,30,10,m,s,
20,05:00,N,C,1.5,29,6,m,s,6.5,30,6,m,s,11,29,9,m,s,
20,06:00,N,C,5.5,25,5.5,gr,f,5,26,7,gr,s,2,30,9.5,m,s,
20,07:00,N,C,6,30,6,m,s,7.5,29,5,clip,s,2,30,9.5,m,s,
21,07:00,Y,W,14,30,9,W,S,3,8,9,G,S,,,,,,
21,08:00,Y,W,11,28,11,M,S,3,8,9,G,S,,,,,,
21,09:00,Y,W,14,29,10,W,S,2,8,9,W,S,,,,,,
21,10:00,Y,W,1,31,10,W,W,1,28,10,M,S,,,,,,
21,11:00,Y,W,10,31,3,GRD,S,9,31,9,M,S,9,31,9,M,S,
21,12:00,Y,W,,,,,,,,,,,,,,,,
21,01:00,Y,W,12,11,4,GR,F,9,31,9,M,S,11,20,9,GR,S,
21,02:00,Y,W,,,,,,,,,,,,,,,,
21,03:00,Y,W,,,,,,,,,,,,,,,,
21,04:00,Y,W,,,,,,,,,,,,,,,,
21,05:00,Y,W,,,,,,,,,,,,,,,,
21,06:00,Y,W,,,,,,,,,,,,,,,,
21,07:00,Y,W,,,,,,,,,,,,,,,,
22,07:00,N,W,,,,,,,,,,,,,,,,
22,08:00,N,W,1,22,9,W,S,5,18,5,GR,S,,,,,,
22,09:00,N,W,0,31,9,M,S,5,18,5,GR,S,,,,,,
22,10:00,N,W,1,31,9,M,S,5,18,10,M,S,,,,,,
22,11:00,N,W,5,30,7,M,S,7,30,8,M,W,4,31,5,M,S,
22,12:00,N,W,5,31,8,M,S,,,,,,4,31,3,M,S,
22,01:00,N,W,11,31,8,M,S,,,,,,4,31,8,M,S,
22,02:00,N,W,3,31,16,M,S,,,,,,5,31,9,M,S,
22,03:00,N,W,,,,,,,,,,,,,,,,
22,04:00,N,W,,,,,,,,,,,,,,,,
22,05:00,N,W,,,,,,,,,,,,,,,,
22,06:00,N,W,,,,,,,,,,,,,,,,
22,07:00,N,W,,,,,,,,,,,,,,,,
23,07:00,Y,C,13,20,3,GR,F,11,23,6,GR,S,11.5,23,6,GR,S,
23,08:00,Y,C,13,20,3,GR,F,11,23,6,GR,S,11.5,23,6,GR,S,
23,09:00,Y,C,12.5,19.5,5,GR,S,10,23,7,GR,S,12,30,5,M,S,
23,10:00,Y,C,10,23.5,7,GR,S,7,31.5,2,M,W,1.5,26,0,M,S,
23,11:00,Y,C,15,23,0,M,S,3,30,3,M,W,0.5,29,0,M,S,
23,12:00,Y,C,15,21,4,M,S,13,31,0.5,W,S,0.5,30,0,M,S,
23,01:00,Y,C,13,18.5,4,DGR,F,13,31,0.5,M,S,15,21,4,M,S,
23,02:00,Y,C,13,21,3,Gr,S,14.5,25,2,M,W,9,30,0,M,W,
23,03:00,Y,C,11,23,6,GR,S,15,21,0.5,M,S,0.5,30,1,M,S,
23,04:00,Y,C,0.5,31,0,M,S,1,30.5,0.5,M,S,11,21,6,GR,S,
23,05:00,Y,C,10,30,11,M,S,1,30,2,M,S,0.5,30,1.5,M,S,
23,06:00,Y,C,11,30,11,M,S,1,30,2,M,S,0.5,30,1.5,M,S,
23,07:00,Y,C,10,30,10,M,S,1,30,2,M,S,0.5,30,1.5,M,S,
24,07:00,N,C,9,14,6,GR,S,12,22,4,DGR,S,,,,,,
24,08:00,N,C,9.5,18.5,4,GR,S,12,22,4,DGR,F,,,,,,
24,09:00,N,C,11,20.5,5,DGR,F,11,21,4,DGR,F,11,20,4,DGR,S,
24,10:00,N,C,14,30,0.5,W,S,13,23,3,DGR,S,15,31,1,M,W,
24,11:00,N,C,6,31,0,M,S,13,31,0.5,M,S,,,,,,
24,12:00,N,C,10,18,4,GR,S,13,31,2,M,S,3,31,0,M,S,
24,01:00,N,C,11,20,4,DGR,F,12,21,4,DGR,F,3.5,31,0,M,S,
24,02:00,N,C,13,31,0,M,S,14,31,4,M,W,14,31,1,M,S,
24,03:00,N,C,2,30.5,0,M,S,13,31,1,M,S,13,31,2,M,S,
24,04:00,N,C,2,29.5,7,M,S,10,18,4,M,S,4,11,7,G,W,
24,05:00,N,C,5,30,0,M,S,3,30,0,M,S,3,15,9,G,W,
24,06:00,N,C,12,26.5,0,M,S,6,30,0,M,S,7,16,10,G,S,
24,07:00,N,C,11,20,4,DGR,S,5,30.5,0,M,S,1,19,3,G,S,
25,07:00,Y,W,11.5,19,7,GR,S,12,21,8,GR,S,8,23,12,M,S,
25,08:00,Y,W,9,16.5,8,GR,S,9,17,8,GR,S,11,22,9,GR,S,
25,09:00,Y,W,11,19,9,GR,S,1,18,9,GR,S,9,30,2,M,S,
25,10:00,Y,W,12,21,9,GR,S,14,31,7,M,W,7,18,6,DGR,S,
25,11:00,Y,W,11.5,21,7,GR,W,8,29,6,HOBO,S,10,30,1,M,S,
25,12:00,Y,W,13,30,7,M,S,9,30,1,M,S,7,15,6,M,S,
25,01:00,Y,W,9,29.5,0.5,M,S,14,28,11,W,H,13,30,1,M,S,
25,02:00,Y,W,9.5,29.5,1,M,S,10,20,10,GR,S,13,30.5,1,M,S,
25,03:00,Y,W,10,29.5,1,M,S,13,29,2,W,S,13,30,9,W,S,
25,04:00,Y,W,7,30,1,M,S,7,28,7,M,S,8,30,1,M,S,
25,05:00,Y,W,7,29.5,1,M,S,12,30,6,M,W,8,29.5,1,M,S,
25,06:00,Y,W,9,29.5,1,M,S,9,29.5,8,M,S,10,29.5,8,M,S,
25,07:00,Y,W,10.5,22,,GR,S,10,29.5,10,M,S,13.5,22.5,9.5,W,S,
26,07:00,N,W,2,21.5,5,DGR,S,,,,,,,,,,,jumping spider
26,08:00,N,W,2,24,5.5,M,S,,,,,,,,,,,
26,09:00,N,W,2,22,5,DGR,S,16,13,9,M,S,,,,,,
26,10:00,N,W,14,30.5,6,M,S,2,31,8,M,W,2,31,3,M,S,
26,11:00,N,W,7,29,8,M,S,4,30,2,M,S,8,29,7,M,S,
26,12:00,N,W,9,29,6,HOBO,S,4,27,5,DGR,S,3,26,4,GR,S,
26,01:00,N,W,3,26,4,DGR,S,1,30,8,M,S,3.5,26,4,DGR,S,
26,02:00,N,W,1,31,9,M,S,0,25,7,M,W,1,31,9.5,W,S,
26,03:00,N,W,3,30,7,M,S,4,31,2,M,S,2,31,2,M,S,
26,04:00,N,W,4,26,5,GR,S,6,30,7,M,S,1,31,8.5,W,S,
26,05:00,N,W,3,25,4,GR,S,7,29,10,M,S,3.5,26,3,GR,S,
26,06:00,N,W,3,25,3.5,GR,S,7,28.5,6,HOBO,S,4,26,3,GR,S,
26,07:00,N,W,3,24,5,DGR,S,5,28.5,5,HOBO,S,3,25,3,GR,S,
27,07:00,Y,C,6,22,0.5,GR,S,8,23,0.5,GR,S,5.5,21,3,GR,S,
27,08:00,Y,C,6,22,0.5,GR,S,8,23,0.5,GR,S,5.5,21,3,GR,S,
27,09:00,Y,C,5,21,0.5,GR,S,8,25,0.5,GR,S,7,29.5,0,M,S,
27,10:00,Y,C,7,30,0,M,S,8.5,30.5,0,M,S,13,31,0.5,W,S,
27,11:00,Y,C,7,30,0,M,S,2,31,3,M,S,2.5,31,2.5,M,S,
27,12:00,Y,C,6,24,4,GR,F,1.5,31,7,M,S,13,30.5,0.5,W,S,
27,01:00,Y,C,8,25,0.5,GR,S,2,31,0.5,M,S,13,31,1,W,S,
27,02:00,Y,C,7,30,0,M,S,0,30,2,M,S,0,30,6,M,S,
27,03:00,Y,C,8,30,0,M,S,2,31,0,M,S,0,31,2,M,S,
27,04:00,Y,C,8,30,0,M,S,2,30.5,0,M,S,0,31,1,M,S,
27,05:00,Y,C,2,30,0,M,S,6,29,0,M,S,5.5,24,4,GR,S,
27,06:00,Y,C,7,22,0.5,GR,S,2,30,0,M,S,9,27,0.5,GR,W,
27,07:00,Y,C,9,23,0,M,S,6,25,4,GR,S,2,31,0,M,S,
28,07:00,N,C,,,,,,,,,,,,,,,,
28,08:00,N,C,3,20.5,4,grd,s,5,20,2,gr,s,1,30.5,10,m,s,
28,09:00,N,C,3,20.5,4,grd,s,5,20,2,gr,s,4,31,9,m,s,
28,10:00,N,C,4,27,7,gr,f,9,30.5,0,m,s,6,24,0,m,w,
28,11:00,N,C,13.5,31,10,m,s,15,29,4a,m,s,14,31,2,m,s,
28,12:00,N,C,14.5,29,3,m,s,12,31,9,m,s,15,28,9,m,s,
28,01:00,N,C,5,23,8,gr,f,4.5,25,7,gr,s,13,31,10,m,s,
28,02:00,N,C,13,30.5,9.5,m,s,6,29,8,m,s,6,21,9,gr,w,
28,03:00,N,C,9,25,9,m,s,6,28,9,m,s,4,30,9,m,s,
28,04:00,N,C,7,27,9,m,s,7,28.5,0,m,s,13,31,10,m,s,
28,05:00,N,C,5,28,9,m,s,7,28.5,0,m,s,13,31,10,m,s,
28,06:00,N,C,5,28,9,m,s,7,28.5,0,m,s,13,31,10,m,s,
28,07:00,N,C,5,28,9,m,s,7,28.5,0,m,s,9.5,29,8,m,s,
29,07:00,Y,W,7.5,25,0,M,S,11,5,6,G,S,13,19,10,M,S,
29,08:00,Y,W,11,5.5,6,G,S,13,17,9.5,M,S,12,29,9,M,S,
29,09:00,Y,W,11,5.5,6,G,S,10,30,8,M,S,13,15,9.5,M,S,
29,10:00,Y,W,13.5,12,7.5,DGR,S,15,21.5,9,W,S,13.5,30,4.5,M,S,
29,11:00,Y,W,16,13,5,M,S,13,30,8,M,S,12,30,8,M,S,
29,12:00,Y,W,15,25,5,M,S,5,31,2,M,S,5.5,31,2,M,S,
29,01:00,Y,W,6,50,1,M,S,9,30,1,M,S,12,30,7,M,S,
29,02:00,Y,W,7,29.5,1,M,S,11,30,7,M,S,5,30,1,M,S,
29,03:00,Y,W,13,31,8,M,S,5,30,1,M,S,7,29.5,1,M,S,
29,04:00,Y,W,6,30,1,M,S,14,31,6,M,S,4,30.5,2,M,S,
29,05:00,Y,W,6.5,30,1,M,S,12,30.5,3,M,S,7.5,30,1,M,S,
29,06:00,Y,W,9,28.5,8,M,S,6,30,1,M,S,12.5,30,7,M,S,
29,07:00,Y,W,9,29,8,M,S,12.5,30,,M,S,12,30,7.5,M,S,
30,07:00,N,W,14,22,10,W,S,14,31,2,M,W,,,,,,
30,08:00,N,W,15,30.5,10,W,S,15,30.5,1,W,S,11,30,0.5,M,S,
30,09:00,N,W,10,30,1,M,S,12,30,2,M,S,12,30,2,M,S,
30,10:00,N,W,11,30,2,M,S,8,30,1,M,S,13,31,3,M,W,
30,11:00,N,W,12,30,2,M,W,7,30,10,M,S,,,,,,
30,12:00,N,W,7,30,1,M,S,14,31,1,M,S,10,30,3,M,S,
30,01:00,N,W,12,30,1,M,S,14,30.5,2,W,S,13,30,2,M,S,
30,02:00,N,W,6,29.5,1,M,S,13.5,30.5,3,M,S,13,30.5,1,M,S,
30,03:00,N,W,5,29.5,9,M,S,13,31,2,M,S,13.5,28.5,0,M,S,
30,04:00,N,W,11,29.5,3,M,S,14,31,2,M,S,13,30,7,M,S,
30,05:00,N,W,10,30,2,M,S,12,29.5,1,GR,E,11,29,0,M,S,
30,06:00,N,W,6,30,1,M,S,9,30,1,M,S,2,30,6,M,S,
