Block,Treatment,Type,Value,,,
1,SIG W,SpHt,32,,,
2,SIG W,SpHt,,,,
3,SIG W,SpHt,,,,
4,SIG W,SpHt,,,,
5,SIG W,SpHt,31,,,
6,SIG W,SpHt,11,,,
7,SIG W,SpHt,31,,,
8,SIG W,SpHt,6,,,
9,SIG W,SpHt,,,,
10,SIG W,SpHt,4,,,
11,SIG W,SpHt,,,,
1,SG W,SpHt,4,,,
2,SG W,SpHt,4,,,
3,SG W,SpHt,,,,
4,SG W,SpHt,19,,,
5,SG W,SpHt,4,,,
6,SG W,SpHt,,,,
7,SG W,SpHt,,,,
8,SG W,SpHt,28,,,
9,SG W,SpHt,30,,,
10,SG W,SpHt,,,,
11,SG W,SpHt,21,,,
1,SIG C,SpHt,7,,,
2,SIG C,SpHt,10,,,
3,SIG C,SpHt,23,,,
4,SIG C,SpHt,,,,
5,SIG C,SpHt,31,,,
6,SIG C,SpHt,3,,,
7,SIG C,SpHt,23,,,
8,SIG C,SpHt,32,,,
9,SIG C,SpHt,-999,,,
10,SIG C,SpHt,,,,
11,SIG C,SpHt,31,,,
1,SG C,SpHt,-999,,,
2,SG C,SpHt,,,,
3,SG C,SpHt,25,,,
4,SG C,SpHt,,,,
5,SG C,SpHt,6,,,
6,SG C,SpHt,7,,,
7,SG C,SpHt,30,,,
8,SG C,SpHt,7,,,
9,SG C,SpHt,30,,,
10,SG C,SpHt,,,,
11,SG C,SpHt,,,,
1,SIG W,GrLive,1,,,
2,SIG W,GrLive,3,,,
3,SIG W,GrLive,1,,,
4,SIG W,GrLive,0,,,
5,SIG W,GrLive,2,,,
6,SIG W,GrLive,0,,,
7,SIG W,GrLive,2,,,
8,SIG W,GrLive,2,,,
9,SIG W,GrLive,0,,,
10,SIG W,GrLive,1,,,
11,SIG W,GrLive,1,,,
1,SG W,GrLive,2,,,
2,SG W,GrLive,2,,,
3,SG W,GrLive,1,,,
4,SG W,GrLive,1,,,
5,SG W,GrLive,2,,,
6,SG W,GrLive,0,,,
7,SG W,GrLive,2,,,
8,SG W,GrLive,0,,,
9,SG W,GrLive,1,,,
10,SG W,GrLive,3,,,
11,SG W,GrLive,2,,,
1,SIG C,GrLive,1,,,
2,SIG C,GrLive,2,,,
3,SIG C,GrLive,0,,,
4,SIG C,GrLive,2,,,
5,SIG C,GrLive,1,,,
6,SIG C,GrLive,0,,,
7,SIG C,GrLive,0,,,
8,SIG C,GrLive,1,,,
9,SIG C,GrLive,2,,,
10,SIG C,GrLive,2,,,
11,SIG C,GrLive,2,,,
1,SG C,GrLive,0,,,
2,SG C,GrLive,0,,,
3,SG C,GrLive,0,,,
4,SG C,GrLive,0,,,
5,SG C,GrLive,3,,,
6,SG C,GrLive,2,,,
7,SG C,GrLive,3,,,
8,SG C,GrLive,1,,,
9,SG C,GrLive,0,,,
10,SG C,GrLive,4,,,
11,SG C,GrLive,3,,,
1,SIG W,GrDead,0,,,
2,SIG W,GrDead,0,,,
3,SIG W,GrDead,0,,,
4,SIG W,GrDead,0,,,
5,SIG W,GrDead,1,,,
6,SIG W,GrDead,0,,,
7,SIG W,GrDead,0,,,
8,SIG W,GrDead,0,,,
9,SIG W,GrDead,0,,,
10,SIG W,GrDead,0,,,
11,SIG W,GrDead,0,,,
1,SG W,GrDead,0,,,
2,SG W,GrDead,0,,,
3,SG W,GrDead,1,,,
4,SG W,GrDead,1,,,
5,SG W,GrDead,1,,,
6,SG W,GrDead,0,,,
7,SG W,GrDead,0,,,
8,SG W,GrDead,0,,,
9,SG W,GrDead,0,,,
10,SG W,GrDead,0,,,
11,SG W,GrDead,1,,,
1,SIG C,GrDead,0,,,
2,SIG C,GrDead,0,,,
3,SIG C,GrDead,0,,,
4,SIG C,GrDead,0,,,
5,SIG C,GrDead,0,,,
6,SIG C,GrDead,2,,,
7,SIG C,GrDead,0,,,
8,SIG C,GrDead,0,,,
9,SIG C,GrDead,0,,,
10,SIG C,GrDead,0,,,
11,SIG C,GrDead,0,,,
1,SG C,GrDead,1,,,
2,SG C,GrDead,0,,,
3,SG C,GrDead,0,,,
4,SG C,GrDead,0,,,
5,SG C,GrDead,0,,,
6,SG C,GrDead,0,,,
7,SG C,GrDead,0,,,
8,SG C,GrDead,1,,,
9,SG C,GrDead,0,,,
10,SG C,GrDead,0,,,
11,SG C,GrDead,0,,,
1,SIG W,GrTot,3,,,
2,SIG W,GrTot,3,,,
3,SIG W,GrTot,3,,,
4,SIG W,GrTot,3,,,
5,SIG W,GrTot,3,,,
6,SIG W,GrTot,3,,,
7,SIG W,GrTot,3,,,
8,SIG W,GrTot,3,,,
9,SIG W,GrTot,3,,,
10,SIG W,GrTot,3,,,
11,SIG W,GrTot,3,,,
1,SG W,GrTot,3,,,
2,SG W,GrTot,3,,,
3,SG W,GrTot,3,,,
4,SG W,GrTot,3,,,
5,SG W,GrTot,3,,,
6,SG W,GrTot,3,,,
7,SG W,GrTot,3,,,
8,SG W,GrTot,3,,,
9,SG W,GrTot,3,,,
10,SG W,GrTot,3,,,
11,SG W,GrTot,3,,,
1,SIG C,GrTot,3,,,
2,SIG C,GrTot,3,,,
3,SIG C,GrTot,3,,,
4,SIG C,GrTot,3,,,
5,SIG C,GrTot,3,,,
6,SIG C,GrTot,3,,,
7,SIG C,GrTot,3,,,
8,SIG C,GrTot,3,,,
9,SIG C,GrTot,3,,,
10,SIG C,GrTot,3,,,
11,SIG C,GrTot,3,,,
1,SG C,GrTot,3,,,
2,SG C,GrTot,3,,,
3,SG C,GrTot,3,,,
4,SG C,GrTot,3,,,
5,SG C,GrTot,3,,,
6,SG C,GrTot,3,,,
7,SG C,GrTot,3,,,
8,SG C,GrTot,3,,,
9,SG C,GrTot,3,,,
10,SG C,GrTot,4,,,
11,SG C,GrTot,3,,,